seed,complete,dir,val_accuracy,best_val_accuracy,finished_at,checkpoint_sha256,run_meta_sha256
0,True,outputs/encoder/seed_runs/longformer_seed0,0.7434008717536926,0.7434008717536926,2026-08-13T10:46:40,5f581e39bfe183d052abaef35118c7507ab2c3516aa9fd2b1803122a8517a080,0fdf441c7a80866f65553d0aac68ba17ccee37fea0a9951fe4827bd1ca28d89c
1,True,outputs/encoder/seed_runs/longformer_seed1,0.7415592670440674,0.7415592670440674,2026-08-14T02:10:26,3da6c59bb509622c70cb8d16c6dc6aaf585f0e51016c7d3239b9b6db4b803e7e,cb6e25bee9fa13278bcd7ecea9fd7b44620ed5f7c1e1c3b9ca0d8ca5beeb3f6b
2,True,outputs/encoder/seed_runs/longformer_seed2,0.7372621297836304,0.7376713752746582,2026-08-14T17:31:31,6a0db2f60fe378017558417f24c96d1dffa770e1a9dc2a5174bfcc7e760c7af4,56dc4e41322ee704387d015752990da40e927963660037acc8e2fbea474adfae
