question_id,epoch,prob_correct,is_correct
high2941.txt_q1,4.0,0.3971841633319855,0
high3670.txt_q2,4.0,0.9999645948410034,1
high12059.txt_q3,4.0,0.9999991655349731,1
high20632.txt_q2,4.0,0.9998378753662109,1
high10875.txt_q4,4.0,0.9953994154930115,1
middle6714.txt_q1,4.0,1.0,1
high18033.txt_q1,4.0,0.7984731793403625,1
middle8089.txt_q1,4.0,1.0,1
high6654.txt_q2,4.0,0.9044894576072693,1
middle5998.txt_q4,4.0,0.9914912581443787,1
high14054.txt_q1,4.0,0.9886908531188965,1
high24177.txt_q4,4.0,0.9941104054450989,1
high10270.txt_q0,4.0,0.9807190895080566,1
high629.txt_q1,4.0,0.9865929484367371,1
high20221.txt_q3,4.0,0.9953990578651428,1
high15094.txt_q0,4.0,0.9999992847442627,1
high8183.txt_q0,4.0,0.9999731779098511,1
high18967.txt_q0,4.0,0.9855853915214539,1
middle2226.txt_q2,4.0,0.00031905752257443964,0
high11003.txt_q1,4.0,0.9999984502792358,1
middle8218.txt_q1,4.0,0.5335500240325928,1
high16652.txt_q2,4.0,0.9977978467941284,1
high5260.txt_q2,4.0,0.9999929666519165,1
middle4778.txt_q2,4.0,0.9999841451644897,1
high5072.txt_q1,4.0,0.9997628331184387,1
high121.txt_q3,4.0,0.9999839067459106,1
middle2902.txt_q0,4.0,0.7441045045852661,1
middle5228.txt_q0,4.0,0.9972695708274841,1
high12278.txt_q2,4.0,1.0,1
high14246.txt_q2,4.0,0.9611485004425049,1
high23229.txt_q0,4.0,0.9960712194442749,1
middle6311.txt_q1,4.0,0.27725541591644287,0
high7909.txt_q2,4.0,0.5584614872932434,1
high8836.txt_q2,4.0,0.9999485015869141,1
high12903.txt_q1,4.0,0.9973663687705994,1
middle6516.txt_q4,4.0,0.999991774559021,1
high5863.txt_q2,4.0,0.9999833106994629,1
middle3879.txt_q3,4.0,0.9999980926513672,1
middle6172.txt_q0,4.0,0.9999889135360718,1
high12188.txt_q1,4.0,0.999993085861206,1
high21837.txt_q2,4.0,0.9999984502792358,1
high4313.txt_q0,4.0,0.9998363256454468,1
middle6654.txt_q0,4.0,0.9962199330329895,1
middle1033.txt_q0,4.0,0.9989074468612671,1
high4442.txt_q4,4.0,0.9818733930587769,1
middle261.txt_q2,4.0,0.9999918937683105,1
high21318.txt_q2,4.0,0.9984676241874695,1
high10256.txt_q2,4.0,0.999998927116394,1
high16043.txt_q1,4.0,0.9999967813491821,1
middle1928.txt_q1,4.0,0.9799398183822632,1
middle6221.txt_q1,4.0,0.9999724626541138,1
high21634.txt_q1,4.0,0.9995856881141663,1
high4910.txt_q0,4.0,0.9997876286506653,1
middle7815.txt_q1,4.0,0.9102551341056824,1
high3480.txt_q0,4.0,0.9999977350234985,1
high21127.txt_q1,4.0,0.9862815737724304,1
high5078.txt_q1,4.0,0.999868631362915,1
high23755.txt_q2,4.0,0.9999849796295166,1
high20112.txt_q3,4.0,1.0,1
high1307.txt_q4,4.0,0.9999966621398926,1
middle8163.txt_q3,4.0,0.9999425411224365,1
middle7726.txt_q0,4.0,0.9975184202194214,1
high20287.txt_q2,4.0,0.9999978542327881,1
middle3787.txt_q2,4.0,0.9910681843757629,1
high14779.txt_q0,4.0,0.9848710894584656,1
high284.txt_q3,4.0,0.9999868869781494,1
high16445.txt_q2,4.0,0.9876152276992798,1
high6417.txt_q0,4.0,0.9999682903289795,1
high2692.txt_q1,4.0,0.9999990463256836,1
high11940.txt_q1,4.0,0.9022683501243591,1
high14020.txt_q1,4.0,0.9994890689849854,1
high11166.txt_q2,4.0,0.9496839642524719,1
middle120.txt_q0,4.0,0.22872895002365112,0
middle2314.txt_q3,4.0,0.9979044198989868,1
middle5642.txt_q1,4.0,0.9998114705085754,1
middle2304.txt_q1,4.0,0.9997547268867493,1
high21319.txt_q2,4.0,0.9999948740005493,1
high520.txt_q2,4.0,0.96353679895401,1
high10863.txt_q2,4.0,0.9883982539176941,1
high14696.txt_q0,4.0,0.9999971389770508,1
high419.txt_q2,4.0,0.22337161004543304,0
high22454.txt_q0,4.0,0.9891154766082764,1
high9256.txt_q1,4.0,0.8936372995376587,1
high149.txt_q2,4.0,0.18428176641464233,0
high14467.txt_q3,4.0,0.9999771118164062,1
middle4147.txt_q2,4.0,0.9996073842048645,1
high8159.txt_q1,4.0,0.9999032020568848,1
high1420.txt_q1,4.0,0.9997853636741638,1
high2698.txt_q2,4.0,0.9973135590553284,1
high20129.txt_q1,4.0,0.9982268214225769,1
high9454.txt_q3,4.0,1.0,1
high9080.txt_q2,4.0,0.9999699592590332,1
middle2056.txt_q2,4.0,0.998974084854126,1
high16179.txt_q0,4.0,0.9860549569129944,1
middle2000.txt_q2,4.0,0.999921441078186,1
high2574.txt_q1,4.0,0.9999274015426636,1
high6163.txt_q2,4.0,0.3835175037384033,0
high6319.txt_q1,4.0,0.9759989976882935,1
high16421.txt_q0,4.0,0.2938258945941925,0
middle2733.txt_q0,4.0,0.4995126724243164,1
middle6741.txt_q0,4.0,0.9999954700469971,1
middle4800.txt_q0,4.0,0.9999967813491821,1
high20577.txt_q2,4.0,0.9997507929801941,1
middle4469.txt_q2,4.0,0.9960507750511169,1
middle4530.txt_q1,4.0,0.9999345541000366,1
high14421.txt_q1,4.0,0.99972003698349,1
middle2537.txt_q2,4.0,0.9999837875366211,1
high3442.txt_q1,4.0,0.9999990463256836,1
high14990.txt_q0,4.0,0.9999973773956299,1
high9561.txt_q4,4.0,0.8880136609077454,1
high11399.txt_q0,4.0,0.9985452890396118,1
high10820.txt_q1,4.0,0.9999843835830688,1
high8609.txt_q1,4.0,0.9999988079071045,1
high15504.txt_q1,4.0,0.9999998807907104,1
high1581.txt_q3,4.0,0.9249133467674255,1
high16363.txt_q0,4.0,0.995698094367981,1
middle1652.txt_q0,4.0,0.9999871253967285,1
high22564.txt_q2,4.0,0.9965924620628357,1
high11371.txt_q1,4.0,0.999984860420227,1
middle5281.txt_q1,4.0,0.999453604221344,1
high1242.txt_q2,4.0,0.9996449947357178,1
high5914.txt_q0,4.0,0.9923032522201538,1
middle32.txt_q2,4.0,0.9977750182151794,1
high24250.txt_q3,4.0,0.9952442049980164,1
middle7115.txt_q0,4.0,0.9999001026153564,1
high13032.txt_q2,4.0,0.9999388456344604,1
high16893.txt_q0,4.0,1.0,1
high16637.txt_q1,4.0,0.9999967813491821,1
high17360.txt_q1,4.0,0.9999940395355225,1
middle5158.txt_q3,4.0,0.8192169666290283,1
middle2142.txt_q2,4.0,0.9852904081344604,1
high7650.txt_q1,4.0,0.8569275736808777,1
high1339.txt_q0,4.0,0.9964514970779419,1
high22455.txt_q2,4.0,0.9991797804832458,1
high20996.txt_q1,4.0,0.19428548216819763,0
middle5094.txt_q1,4.0,0.9999997615814209,1
middle655.txt_q3,4.0,0.9997513890266418,1
middle1888.txt_q1,4.0,0.9998883008956909,1
middle5584.txt_q0,4.0,0.28610798716545105,0
high19889.txt_q1,4.0,0.9997851252555847,1
middle6802.txt_q1,4.0,0.999821126461029,1
middle2372.txt_q0,4.0,0.9999940395355225,1
high4944.txt_q1,4.0,1.0,1
high4671.txt_q2,4.0,0.9957094192504883,1
middle4534.txt_q3,4.0,0.999560534954071,1
high16435.txt_q1,4.0,0.9956203103065491,1
high7609.txt_q1,4.0,1.0,1
high443.txt_q0,4.0,0.5629520416259766,1
middle4526.txt_q4,4.0,0.9999953508377075,1
high11812.txt_q0,4.0,0.8258972764015198,1
high6408.txt_q1,4.0,0.9999151229858398,1
middle2871.txt_q4,4.0,0.9999334812164307,1
high18114.txt_q0,4.0,0.9999258518218994,1
middle4160.txt_q1,4.0,0.9998881816864014,1
high20816.txt_q3,4.0,0.9999845027923584,1
high14166.txt_q1,4.0,0.9999971389770508,1
high23768.txt_q0,4.0,0.9966380596160889,1
middle939.txt_q2,4.0,0.9994785189628601,1
high21585.txt_q2,4.0,0.9999995231628418,1
middle7620.txt_q3,4.0,0.9998419284820557,1
high24057.txt_q3,4.0,0.9999775886535645,1
middle1580.txt_q3,4.0,0.14309421181678772,0
high118.txt_q0,4.0,0.9967213273048401,1
middle6585.txt_q1,4.0,0.9983962178230286,1
high13587.txt_q2,4.0,0.9932818412780762,1
high6040.txt_q1,4.0,0.9999798536300659,1
middle3654.txt_q2,4.0,0.9872265458106995,1
middle5267.txt_q2,4.0,0.9996498823165894,1
high2563.txt_q1,4.0,0.8940368294715881,1
high2782.txt_q3,4.0,0.9609965682029724,1
high2890.txt_q2,4.0,0.9985244870185852,1
high7565.txt_q2,4.0,0.9978922009468079,1
high1193.txt_q1,4.0,0.9999179840087891,1
high16306.txt_q1,4.0,0.9998739957809448,1
high5729.txt_q3,4.0,0.9995162487030029,1
high3955.txt_q1,4.0,0.9948423504829407,1
high7118.txt_q0,4.0,0.9994427561759949,1
high12402.txt_q3,4.0,0.9998993873596191,1
high1672.txt_q3,4.0,1.0,1
high12684.txt_q3,4.0,0.9999881982803345,1
high494.txt_q1,4.0,0.999530553817749,1
middle3765.txt_q3,4.0,0.9999442100524902,1
middle6183.txt_q3,4.0,0.9986687898635864,1
high12503.txt_q1,4.0,0.9999998807907104,1
high11983.txt_q0,4.0,0.9999990463256836,1
high11978.txt_q2,4.0,0.999962329864502,1
middle6870.txt_q0,4.0,0.9999988079071045,1
high20170.txt_q1,4.0,0.9999997615814209,1
high17613.txt_q1,4.0,0.9996769428253174,1
high11300.txt_q0,4.0,0.9994474053382874,1
high13316.txt_q1,4.0,0.999834418296814,1
middle2379.txt_q2,4.0,0.9999926090240479,1
high949.txt_q2,4.0,0.9999113082885742,1
high2564.txt_q2,4.0,0.978935956954956,1
high1231.txt_q2,4.0,0.999882698059082,1
high19345.txt_q1,4.0,0.9999960660934448,1
high3925.txt_q1,4.0,0.9998378753662109,1
high3431.txt_q2,4.0,0.9999994039535522,1
middle1432.txt_q2,4.0,0.9999855756759644,1
high11357.txt_q1,4.0,0.9795243144035339,1
high14214.txt_q1,4.0,0.966149091720581,1
high216.txt_q2,4.0,0.9909313917160034,1
middle6368.txt_q2,4.0,0.9997068047523499,1
high4766.txt_q2,4.0,0.9999967813491821,1
middle6229.txt_q1,4.0,0.9999613761901855,1
middle4112.txt_q4,4.0,0.9999959468841553,1
high17896.txt_q3,4.0,0.9995245933532715,1
high3759.txt_q3,4.0,0.9999654293060303,1
high9721.txt_q0,4.0,0.9995110034942627,1
high13243.txt_q0,4.0,0.999996542930603,1
middle1311.txt_q3,4.0,0.991995096206665,1
middle3679.txt_q4,4.0,0.9999997615814209,1
high8015.txt_q1,4.0,0.9999978542327881,1
middle3176.txt_q0,4.0,0.8435717821121216,1
high14422.txt_q1,4.0,0.9916611909866333,1
middle5163.txt_q0,4.0,1.0,1
high18597.txt_q2,4.0,0.9999881982803345,1
high4972.txt_q3,4.0,1.0,1
middle7398.txt_q0,4.0,0.944782555103302,1
high19757.txt_q1,4.0,0.9977424144744873,1
high20256.txt_q2,4.0,0.9999985694885254,1
middle6391.txt_q0,4.0,0.9999996423721313,1
high14657.txt_q2,4.0,0.9999592304229736,1
high2893.txt_q1,4.0,1.0,1
high18499.txt_q2,4.0,0.9999998807907104,1
high3361.txt_q0,4.0,0.9999827146530151,1
high7875.txt_q1,4.0,1.0,1
high12537.txt_q1,4.0,0.9841843843460083,1
high2741.txt_q2,4.0,0.6923813819885254,1
high11378.txt_q2,4.0,0.9972345232963562,1
high7523.txt_q2,4.0,0.9948263764381409,1
middle2186.txt_q0,4.0,0.9999998807907104,1
high24072.txt_q0,4.0,0.9999017715454102,1
high15232.txt_q3,4.0,0.6501185297966003,1
high5456.txt_q4,4.0,0.939418613910675,1
high13523.txt_q3,4.0,0.9757311940193176,1
high6126.txt_q1,4.0,0.9988908171653748,1
middle6012.txt_q1,4.0,0.9999474287033081,1
high6480.txt_q4,4.0,0.9981849789619446,1
high12410.txt_q0,4.0,0.9998759031295776,1
middle4480.txt_q4,4.0,0.9999998807907104,1
high13961.txt_q1,4.0,0.9946552515029907,1
middle651.txt_q2,4.0,0.9987000226974487,1
middle6070.txt_q1,4.0,0.9980814456939697,1
high23910.txt_q1,4.0,0.9581610560417175,1
high7989.txt_q3,4.0,0.9998075366020203,1
high15232.txt_q0,4.0,0.9898244738578796,1
high17534.txt_q0,4.0,0.9999890327453613,1
high7373.txt_q2,4.0,0.9990966320037842,1
high9561.txt_q3,4.0,0.9996671676635742,1
high17.txt_q3,4.0,0.9975916147232056,1
high23319.txt_q2,4.0,0.9968481659889221,1
high8649.txt_q0,4.0,0.9944878220558167,1
high20021.txt_q1,4.0,0.9988665580749512,1
middle7277.txt_q1,4.0,0.9991462230682373,1
middle7804.txt_q0,4.0,1.0,1
high9416.txt_q0,4.0,0.9957929849624634,1
middle2256.txt_q2,4.0,0.9999934434890747,1
high22586.txt_q1,4.0,0.9999966621398926,1
high5112.txt_q2,4.0,0.9999992847442627,1
high7261.txt_q1,4.0,0.9990053772926331,1
middle7164.txt_q3,4.0,0.9967647790908813,1
high8727.txt_q0,4.0,0.9999934434890747,1
high20628.txt_q1,4.0,0.44880571961402893,1
middle5367.txt_q3,4.0,0.28162917494773865,0
high9606.txt_q1,4.0,0.637700617313385,1
middle4102.txt_q2,4.0,1.0,1
middle2593.txt_q2,4.0,0.9954078793525696,1
high10562.txt_q2,4.0,0.9999916553497314,1
high13989.txt_q1,4.0,0.9978911280632019,1
high258.txt_q2,4.0,0.5000515580177307,1
high18978.txt_q3,4.0,0.9999861717224121,1
high21591.txt_q0,4.0,0.999984860420227,1
high9677.txt_q3,4.0,0.9998488426208496,1
high3810.txt_q0,4.0,0.9999029636383057,1
high6265.txt_q2,4.0,0.9993150234222412,1
high4507.txt_q2,4.0,0.9982848763465881,1
high12441.txt_q0,4.0,0.9999723434448242,1
high5739.txt_q2,4.0,0.9999994039535522,1
middle6942.txt_q0,4.0,1.0,1
high322.txt_q1,4.0,0.9999736547470093,1
high23756.txt_q2,4.0,0.9981870055198669,1
high1454.txt_q1,4.0,0.9994055032730103,1
middle3657.txt_q0,4.0,0.9999984502792358,1
middle773.txt_q3,4.0,0.5046952366828918,1
middle6347.txt_q1,4.0,0.9996094107627869,1
