solver_id,scope,A_share,B_share,C_share,D_share,max_option_share,option_entropy
solver_1_qwen2vl7b,full_944,0.13135593220338984,0.4713983050847458,0.3103813559322034,0.08686440677966102,0.4713983050847458,1.7262206508265687
solver_1_qwen2vl7b,pilot_50,0.08,0.52,0.3,0.1,0.52,1.6353675481700651
solver_2_internvl3_8b,full_944,0.09851694915254237,0.3125,0.3718220338983051,0.21716101694915255,0.3718220338983051,1.8629359183109098
solver_2_internvl3_8b,pilot_50,0.08,0.36,0.36,0.2,0.36,1.8171245697587872
solver_3_smolvlm2_2b,full_944,0.0,0.6938559322033898,0.07415254237288135,0.2319915254237288,0.6938559322033898,1.1331905648310607
solver_3_smolvlm2_2b,pilot_50,0.0,0.82,0.06,0.12,0.82,0.845370295858088
