spec,mu_lo,mu_hi,sig_lo,sig_hi,cramers_v_band,region_counts,llm_incorrect_by_region,switch_rate_vs_manuscript_region
p20_80,0.28770817965269097,0.9685875654220581,0.03033602726695718,0.1980724850736815,0.1810542605972243,"{""middle"": 2213, ""ambiguous"": 978, ""hard"": 904, ""easy"": 792}","{""ambiguous"": 0.04722792607802875, ""easy"": 0.0012642225031605564, ""hard"": 0.14174107142857142, ""middle"": 0.021729289271163424}",0.23572744014732966
p25_75,0.39636904653161764,0.9523028433322906,0.041723224978492346,0.17800013484701446,0.165151661854988,"{""middle"": 1733, ""ambiguous"": 1222, ""hard"": 971, ""easy"": 961}","{""ambiguous"": 0.04523026315789474, ""easy"": 0.003125, ""hard"": 0.13811007268951195, ""middle"": 0.017908723281340265}",0.14692040106404747
p33_67,0.575846132338047,0.9216163587570191,0.05735308192089036,0.14736014129908914,0.1592229067149931,"{""ambiguous"": 1613, ""easy"": 1189, ""middle"": 1175, ""hard"": 910}","{""ambiguous"": 0.0460772104607721, ""easy"": 0.005050505050505051, ""hard"": 0.132890365448505, ""middle"": 0.01875532821824382}",0.048700634335993455
